List Number	Title	Work GND ID	Work Wikidata ID	Work Goodreads ID	Author	Author GND ID	Author Wikidata ID
1	Don Quixote	4113209-9	Q480	121842	Miguel De Cervantes	11851993X	Q5682
2	Pilgrim's Progress	4214832-7	Q268211	1960084	John Bunyan	118517473	Q108206
3	Robinson Crusoe	4281761-4	Q483034	604666	Daniel Defoe	118524275	Q40946
4	Gulliver's Travels	4099380-2	Q181488	2394716	Jonathan Swift	118620193	Q41166
5	Tom Jones	4099180-5	Q248096	1350343	Henry Fielding	118532960	Q34190
6	Clarissa	4138842-2	Q980534	2767990	Samuel Richardson	118600346	Q295941
7	Tristram Shandy	4099376-0	Q1164083	2280279	Laurence Sterne	11861794X	Q218960
8	Dangerous Liaisons	4220063-5	Q862050	3280025	Pierre Choderlos De Laclos	118568604	Q212476
9	Emma	4277660-0	Q223880	3360164	Jane Austen	118505173	Q36322
10	Frankenstein	4220200-0	Q150827	4836639	Mary Shelley	11879695X	Q47152
11	Nightmare Abbey	4397842-3	Q4054406	1264375	Thomas Love Peacock	118790072	Q561408
12	The Black Sheep	4674561-0	Q3212124	26646	Honoré De Balzac	118506358	Q9711
13	The Charterhouse of Parma	4206853-8	Q1165714	1378789	Stendhal	118617648	Q502
14	The Count of Monte Cristo	4362352-9	Q191838	391568	Alexandre Dumas	118528068	Q38337
15	Sybil	4705786-5	Q3506752	317649	Benjamin Disraeli	118526014	Q82006
16	David Copperfield	4259699-3	Q189811	4711940	Charles Dickens	118525239	Q5686
17	Wuthering Heights	4136057-6	Q202975	1565818	Emily Brontë	118638017	Q80137
18	Jane Eyre	4119812-8	Q182961	2977639	Charlotte Brontë	118638009	Q127332
19	Vanity Fair	4225151-5	Q612836	1057468	William Makepeace Thackeray	118621483	Q167768
20	The Scarlet Letter	4301175-5	Q907568	4925227	Nathaniel Hawthorne	118709305	Q69339
21	Moby-Dick	4204518-6	Q174596	2409320	Herman Melville	118580604	Q4985
22	Madame Bovary	4099183-0	Q193417	2766347	Gustave Flaubert	118533754	Q43444
23	The Woman in White	4371325-7	Q1212672	1303710	Wilkie Collins	118638432	Q210740
24	Alice's Adventures In Wonderland	4295896-9	Q92640	55548884	Lewis Carroll	11851928X	Q38082
25	Little Women	4368763-5	Q523076	3244642	Louisa M. Alcott	118644475	Q185696
26	The Way We Live Now	4686911-6	Q7773866	2152551	Anthony Trollope	118624091	Q318399
27	Anna Karenina	4137252-9	Q147787	2507928	Leo Tolstoy	11864291X	Q7243
28	Daniel Deronda	4376153-7	Q552238	313957	George Eliot	118529846	Q131333
29	The Brothers Karamazov	4198690-8	Q183157	3393910	Fyodor Dostoevsky	118527053	Q991
30	The Portrait of a Lady	4251250-5	Q861017	1434368	Henry James	118556835	Q170509
31	Huckleberry Finn	4311319-9	Q215410	1835605	Mark Twain	"118624822	Q7245"	
32	The Strange Case of Dr Jekyll and Mr Hyde	4390920-6	Q217352	3164921	Robert Louis Stevenson	118753711	Q1512
33	Three Men in a Boat	4569007-8	Q955910	4476508	Jerome K. Jerome	117115517	Q218698
34	The Picture of Dorian Gray	4130762-8	Q82464	1858012	Oscar Wilde	118632779	Q30875
35	The Diary of a Nobody		Q111271912	2164537	George Grossmith	172118654	Q1564825
36	Jude the Obscure	4329968-4	Q1248773	41342119	Thomas Hardy	118545930	Q132805
37	The Riddle of the Sands	4686882-3	Q134466611	395911	Erskine Childers	119384140	Q1270441
38	The Call of the Wild	4488621-4	Q476871	3252320	Jack London	118574183	Q45765
39	Nostromo	4239509-4	Q430248	678519	Joseph Conrad	118521861	Q82925
40	The Wind in the Willows	4369569-3	Q936276	1061285	Kenneth Grahame	118718398	Q314897
41	In Search of Lost Time	4006834-1	Q464928	21467164	Marcel Proust	118596799	Q7199
42	The Rainbow	4237290-2	Q3288936	2337578	D. H. Lawrence	118570358	Q34970
43	The Good Soldier	4519364-2	Q767802	1881188	Ford Madox Ford	118639064	Q537112
44	The Thirty-Nine Steps	4572016-2	Q2609365	2422487	John Buchan	11863805X	Q333004
45	Ulysses	4099246-9	Q6511	2368224	James Joyce	118558501	Q6882
46	Mrs Dalloway	4316776-7	Q752584	841320	Virginia Woolf	118635174	Q40909
47	A Passage to India	4281821-7	Q622303	4574850	EM Forster	118534408	Q189119
48	The Great Gatsby	4316711-1	Q214371	245494	F. Scott Fitzgerald	118533592	Q93354
49	The Trial	4099250-0	Q36097	2965832	Franz Kafka	118559230	Q905
50	Men Without Women	4329930-1	Q4179831	764891	Ernest Hemingway	118549030	Q23434
51	Journey to the End of the Night	4266523-1	Q774233	1551463	Louis-Ferdinand Celine	118519867	Q151820
52	As I Lay Dying	1249964385	Q1544119	481854	William Faulkner	118532081	Q38392
53	Brave New World	4113976-8	Q191949	3204877	Aldous Huxley	118555081	Q81447
54	Scoop	4686843-4	Q1029093	1001166	Evelyn Waugh	118765779	Q107002
55	USA	4113342-0	Q971694	6503267	John Dos Passos	118527002	Q312407
56	The Big Sleep	4447226-2	Q1649862	1222673	Raymond Chandler	118520059	Q180377
57	The Pursuit Of Love	4436324-2	Q3576797	821072	Nancy Mitford	118784269	Q260026
58	The Plague	4131560-1	Q320372	2058116	Albert Camus	118518739	Q34670
59	Nineteen Eighty-Four	4099325-5	Q208460	153313	George Orwell	118590359	Q3335
60	Malone Dies	4264406-9	Q540991	3198398	Samuel Beckett	118508172	Q37327
61	Catcher in the Rye	4120008-1	Q183883	3036731	J.D. Salinger	118605054	Q79904
62	Wise Blood	4383070-5	Q4305774	1046530	Flannery O'Connor	11858930X	Q234579
63	Charlotte's Web	4354911-1	Q45735	987048	EB White	118807129	
64	The Lord Of The Rings	4124318-3	Q15228	3462456	J. R. R. Tolkien	118623222	Q892
65	Lucky Jim	4447188-9	Q1836777	876732	Kingsley Amis	118645005	Q220078
66	Lord of the Flies	4123300-1	Q271764	2766512	William Golding	118696165	Q44183
67	The Quiet American	4678069-5	Q1199651	1469913	Graham Greene	11854179X	Q128560
68	On the Road	4398329-7	Q743180	1701188	Jack Kerouac	118561561	Q160534
