No	Work	Work GND ID	Work Wikidata ID	Goodreads Work ID	Author	Author GND ID	Author Wikidata ID	Year
1	The Pilgrim’s Progress	4214832-7	Q268211	1960084	John Bunyan	118517473	Q108206	1678
2	Robinson Crusoe	4281761-4	Q483034	604666	Daniel Defoe	118524275	Q40946	1719
3	Gulliver’s Travels	4099380-2	Q181488	2394716	Jonathan Swift	118620193	Q41166	1726
4	Clarissa	4138842-2	Q980534	2767990	Samuel Richardson	118600346	Q295941	1748
5	Tom Jones	4099180-5	Q248096	1350343	Henry Fielding	118532960	Q34190	1749
6	The Life and Opinions of Tristram Shandy, Gentleman	4099376-0	Q1164083	2280279	Laurence Sterne	11861794X	Q218960	1759
7	Emma	4277660-0	Q223880	3360164	Jane Austen	118505173	Q36322	1816
8	Frankenstein	4220200-0	Q150827	4836639	Mary Shelley	11879695X	Q47152	1818
9	Nightmare Abbey	4397842-3	Q4054406	1264375	Thomas Love Peacock	118790072	Q561408	1818
10	The Narrative of Arthur Gordon Pym of Nantucket	4224706-8	Q615383	44915222	Edgar Allan Poe	11859527X	Q16867	1838
11	Sybil	4705786-5	Q3506752	317649	Benjamin Disraeli	118526014	Q82006	1845
12	Jane Eyre	4119812-8	Q182961	2977639	Charlotte Brontë	118638009	Q127332	1847
13	Wuthering Heights	4136057-6	Q202975	1565818	Emily Brontë	118638017	Q80137	1847
14	Vanity Fair	4225151-5	Q612836	1057468	William Thackeray	118621483	Q167768	1848
15	David Copperfield	4259699-3	Q189811	4711940	Charles Dickens	118525239	Q5686	1850
16	The Scarlet Letter	4301175-5	Q907568	4925227	Nathaniel Hawthorne	118709305	Q69339	1850
17	Moby-Dick	4204518-6	Q174596	2409320	Herman Melville	118580604	Q4985	1851
18	Alice’s Adventures in Wonderland	4295896-9	Q92640	55548884	Lewis Carroll	11851928X	Q38082	1865
19	The Moonstone	4686889-6	Q2362563	1044477	Wilkie Collins	118638432	Q210740	1868
20	Little Women	4368763-5	Q523076	3244642	Louisa May Alcott	118644475	Q185696	1868-9
21	Middlemarch	4225595-8	Q313129	1461747	George Eliot	118529846	Q131333	1871-2
22	The Way We Live Now	4686911-6	Q7773866	2152551	Anthony Trollope	118624091	Q318399	1875
23	The Adventures of Huckleberry Finn	4311319-9	Q215410	1835605	Mark Twain	118624822	Q7245	1884/5
24	Kidnapped	4421735-3	Q2349094	963266	Robert Louis Stevenson	118753711	Q1512	1886
25	Three Men in a Boat	4569007-8	Q955910	4476508	Jerome K Jerome	117115517	Q218698	1889
26	The Sign of Four	120451450X	Q500688	21539872	Arthur Conan Doyle	11852710X	Q35610	1890
27	The Picture of Dorian Gray	4130762-8	Q82464	1858012	Oscar Wilde	118632779	Q30875	1891
28	New Grub Street	4482139-6	Q29053296	768534	George Gissing	118539574	Q369790	1891
29	Jude the Obscure	4329968-4	Q1248773	41342119	Thomas Hardy	118545930	Q132805	1895
30	The Red Badge of Courage	4305370-1	Q1219239	2314709	Stephen Crane	118522620	Q206534	1895
31	Dracula	4304823-7	Q41542	3165724	Bram Stoker	118798995	Q36184	1897
32	Heart of Darkness	4132636-2	Q129778	2877220	Joseph Conrad	118521861	Q82925	1899
33	Sister Carrie	4224699-4	Q1286961	2437051	Theodore Dreiser	118527355	Q486096	1900
34	Kim	4443891-6	Q589868	1512424	Rudyard Kipling	118562290	Q34743	1901
35	The Call of the Wild	4488621-4	Q476871	3252320	Jack London	118574183	Q45765	1903
36	The Golden Bowl	4284771-0	Q1248585	118576	Henry James	118556835	Q170509	1904
37	Hadrian the Seventh	139059789X	Q5638060	618980	Frederick Rolfe	118642006	Q1289140	1904
38	The Wind in the Willows	4369569-3	Q936276	1061285	Kenneth Grahame	118718398	Q314897	1908
39	The History of Mr Polly	4592328-0	Q2507552	1540895	HG Wells	118643266	Q42511	1910
40	Zuleika Dobson	1045741965	Q8075113	942377	Max Beerbohm	118657909	Q472071	1911
41	The Good Soldier	4519364-2	Q767802	1881188	Ford Madox Ford	118639064	Q537112	1915
42	The Thirty-Nine Steps	4572016-2	Q2609365	2422487	John Buchan	11863805X	Q333004	1915
43	The Rainbow	4237290-2	Q3288936	2337578	DH Lawrence	118570358	Q34970	1915
44	Of Human Bondage	4447532-9	Q1195793	2547187	W Somerset Maugham	104298324	Q134942	1915
45	The Age of Innocence	4466782-6	Q1045464	1959512	Edith Wharton	118767585	Q276032	1920
46	Ulysses	4099246-9	Q6511	2368224	James Joyce	118558501	Q6882	1922
47	Babbitt	4387198-7	Q1107000	2772467	Sinclair Lewis	118572490	Q123469	1922
48	A Passage to India	4281821-7	Q622303	4574850	EM Forster	118534408	Q189119	1924
49	Gentlemen Prefer Blondes	1082428965	Q1248760	6300277	Anita Loos	118936034	Q272088	1925
50	Mrs Dalloway	4316776-7	Q752584	841320	Virginia Woolf	118635174	Q40909	1925
51	The Great Gatsby	4316711-1	Q214371	245494	F Scott Fitzgerald	118533592	Q93354	1925
52	Lolly Willowes	1256063037	Q6668990	922084	Sylvia Townsend Warner	118914081	Q462270	1926
53	The Sun Also Rises	4254325-3	Q501351	589497	Ernest Hemingway	118549030	Q23434	1926
54	The Maltese Falcon	4482601-1	Q870551	980184	Dashiell Hammett	118545477	Q186335	1929
55	As I Lay Dying	1249964385	Q1544119	481854	William Faulkner	118532081	Q38392	1930
56	Brave New World	4113976-8	Q191949	3204877	Aldous Huxley	118555081	Q81447	1932
57	Cold Comfort Farm		Q5142221	847348	Stella Gibbons	118065599	Q1252645	1932
58	Nineteen Nineteen	1221312391		933258	John Dos Passos	118527002	Q312407	1932
59	Tropic of Cancer	4686356-4	Q1501700	543143	Henry Miller	118582518	Q187765	1934
60	Scoop	4686843-4	Q1029093	1001166	Evelyn Waugh	118765779	Q107002	1938
61	Murphy	4322521-4	Q1431476	52684	Samuel Beckett	118508172	Q37327	1938
62	The Big Sleep	4447226-2	Q1649862	1222673	Raymond Chandler	118520059	Q180377	1939
63	Party Going	4266602-8	Q7140910	755756	Henry Green	118718584	Q1285562	1939
64	At Swim-Two-Birds	4513415-7	Q759330	983387	Flann O’Brien	119012871	Q469093	1939
65	The Grapes of Wrath	4305432-8	Q215983	2931549	John Steinbeck	118617338	Q39212	1939
66	Joy in the Morning		Q16386489	768371	PG Wodehouse	118807773	Q207515	1946
67	All the King’s Men	4404798-8	Q1978467	900927	Robert Penn Warren	11862928X	Q312720	1946
68	Under the Volcano	4200489-5	Q1570020	1321805	Malcolm Lowry	118780646	Q357120	1947
69	The Heat of the Day	7594283-5	Q7739239	2388882	Elizabeth Bowen	118659596	Q235308	1948
70	Nineteen Eighty-Four	4099325-5	Q208460	153313	George Orwell	118590359	Q3335	1949
71	The End of the Affair	4594462-3	Q905112	267229	Graham Greene	11854179X	Q128560	1951
72	The Catcher in the Rye	4120008-1	Q183883	3036731	JD Salinger	118605054	Q79904	1951
73	The Adventures of Augie March	4624678-2	Q1771746	2453177	Saul Bellow	118508725	Q83059	1953
74	Lord of the Flies	4123300-1	Q271764	2766512	William Golding	118696165	Q44183	1954
75	Lolita	4251287-6	Q127149	1268631	Vladimir Nabokov	118586114	Q36591	1955
76	On the Road	4398329-7	Q743180	1701188	Jack Kerouac	118561561	Q160534	1957
77	Voss	4099400-4	Q7942045	2938914	Patrick White	118767607	Q129187	1957
78	To Kill a Mockingbird	4316715-9	Q212340	3275794	Harper Lee	119102579	Q182658	1960
79	The Prime of Miss Jean Brodie	4313606-0	Q2074335	6132856	Muriel Spark	118798197	Q233956	1960
80	Catch-22	4229273-6	Q278208	814330	Joseph Heller	118815970	Q208101	1961
81	The Golden Notebook	4099289-5	Q784986	99441	Doris Lessing	118572113	Q40874	1962
82	A Clockwork Orange	4517438-6	Q692557	23596	Anthony Burgess	118638092	Q217619	1962
83	A Single Man	1047908263	Q1610253	1802690	Christopher Isherwood	118710958	Q310111	1964
84	In Cold Blood	4451944-8	Q1142887	1940709	Truman Capote	118518992	Q134180	1966
85	The Bell Jar	4388145-2	Q1213085	1385044	Sylvia Plath	118594877	Q133054	1966
86	Portnoy’s Complaint	7594348-7	Q2707531	911489	Philip Roth	118803433	Q187019	1969
87	Mrs Palfrey at the Claremont		Q48699655	629233	Elizabeth Taylor	119381893	Q442330	1971
88	Rabbit Redux	4202238-1	Q1725082	864749	John Updike	118803492	Q105756	1971
89	Song of Solomon	4301574-8	Q3480330	3215642	Toni Morrison	118911627	Q72334	1977
90	A Bend in the River	4561804-5	Q482567	1158939	VS Naipaul	118737929	Q44593	1979
