List Number	Title	Work GND ID	Work Wikidata ID	Work Goodreads ID	volumes	Author	Author GND ID	Author Wikidata ID	sex or gender (P21)	Publication Date (Guardian)	Publication year (EDTF)
1	Things Fall Apart	4443314-1	Q622400	825843		Chinua Achebe	118646680	Q155845	male	1958	1958
2	The God of Small Things	4595927-4	Q378786	810135		Arundhati Roy	115693424	Q212801	female	1997	1997
3	Beloved	4301577-3	Q971767	736076		Toni Morrison	118911627	Q72334	female	1987	1987
4	The Handmaid’s Tale	4460070-7	Q1541914	1119185		Margaret Atwood	118646168	Q183492	female	1985	1985
5	Blood Meridian	4383795-5	Q581426	1065465		Cormac McCarthy	118873822	Q272610	male	1985	1985
6	A Fine Balance	4639035-2	Q48829	865827		Rohinton Mistry	120024845	Q732338	male	1995	1995
7	Infinite Jest	7634667-5	Q1077445	3271542		David Foster Wallace	122865251	Q313246	male	1996	1996
8	Slaughterhouse-Five	4475127-8	Q265954	1683562		Kurt Vonnegut	118770306	Q49074	male	1969	1969
9	The Lord of the Rings	4124318-3	Q15228	3462456	3	JRR Tolkien	118623222	Q892	male	1954-1955	{1954,1955}
10	I, Lucifer		Q5967444	1282537		Glen Duncan 	1020552123	Q3771949	male	2003	2003
11	Harry Potter series	4629916-6	Q8337	2962492	7	JK Rowling	122340469	Q34660	female	1997-2007	{1997/2007}
12	Lanark	4738453-0	Q6482902	958496		Alasdair Gray	118986171	Q729121	male	1981	1981
13	Stranger in a Strange Land	1141614219	Q929821	908211		Robert A Heinlein	118773704	Q123078	male	1961	1961
14	The Color Purple	4316775-5	Q1897870	3300573		Alice Walker	118884433	Q215868	female	1982	1982
15	Woman on the Edge of Time	4237615-4	Q8030746	838570		Marge Piercy	118816500	Q273385	female	1976	1976
