No	Title	Work GND ID	Work Wikidata ID	Goodreads work ID (Wikibased)	Author	Author GND ID	Author Wikidata ID	Publication Date	Voters
100	My Ántonia	4431451-6	Q2776448	575450	Willa Cather	11866879X	Q229480	1918	Hermione Lee,Xan Brooks,Tahmima Anam,Alexandra Harris
99	The Go-Between	4316714-7	Q4288844	1553524	LP Hartley	118720562	Q654747	1953	Clare Clark,Aida Edemariam,David Shariatmadari
98	The Road	7698101-0	Q1140295	3355573	Cormac McCarthy	118873822	Q272610	2006	Kit de Waal,Sarah Waters,Valeria Luiselli
97	Catch-22	4229273-6	Q278208	814330	Joseph Heller	118815970	Q208101	1961	Meg Rosoff,Sian Cain,Justine Jordan
96	Pedro Páramo	4206521-5	Q1427966	1786290	Juan Rulfo	118750348	Q200661	1955	Yan Lianke,Valeria Luiselli,Alain Mabanckou
95	The Return of the Native	4266508-5	Q141568	3140534	Thomas Hardy	118545930	Q132805	1878	Jude Cook,Alexandra Harris,David Shariatmadari
94	The Known World		Q7744892	1062798	Edward P Jones	130604046	Q942627	2003	Roxane Gay,Uzma Aslam Khan,Maaza Mengiste
93	Invisible Cities	4281298-7	Q1219705	68476	Italo Calvino	118518542	Q154756	1972	John Self,Matt Haig,James Meek
92	Sentimental Education	4099182-9	Q1212285	314156	Gustave Flaubert	118533754	Q43444	1869	Christobel Kent,Maya Jasanoff,Lisa Tuttle
91	Life and Fate	4307515-0	Q979609	2435598	Vasily Grossman	118958356	Q313767	1980	Sarah Bakewell,Philippe Sands,Alex Needham
90	Jacob's Room	4137245-1	Q1677745	3272732	Virginia Woolf	118635174	Q40909	1922	M. John Harrison,Mark Haddon,Alexandra Harris
89	The Left Hand of Darkness	4254319-8	Q2008211	817527	Ursula K Le Guin	118923382	Q181659	1969	Amanda Craig,Beejay Silcox,Michael Chabon,John Lanchester
88	Ragtime	4332667-5	Q737910	551195	EL Doctorow	118838466	Q335232	1975	Daniel Kehlmann,Colum McCann,Joe Dunthorne,Dorian Lynskey
87	The Line of Beauty	7619567-3	Q2448434	918312	Alan Hollinghurst	122557484	Q316048	2004	Douglas Stuart,Philippe Sands,Alex Needham,Dorian Lynskey
86	The Turn of the Screw	4132637-4	Q625923	990886	Henry James	118556835	Q170509	1898	Julie Myerson,Kate Mosse,Kathryn Hughes,Lisa Tuttle
85	The Vegetarian	1120734800	Q24082770	18449744	Han Kang	1038023009	Q5646626	2007	Sayaka Murata,Sophie Mackintosh,Tahmima Anam,Emma Loffhagen
84	The Talented Mr Ripley	4737524-3	Q472026	1817520	Patricia Highsmith	11855087X	Q270635	1955	Nina Allan,Olivia Laing,Joe Dunthorne,Richard Osman
83	A Farewell to Arms	4099228-7	Q235795	4652599	Ernest Hemingway	118549030	Q23434	1929	Steven Poole,Christobel Kent,Yiyun Li,Ahdaf Soueif
82	The End of the Affair	4594462-3	Q905112	267229	Graham Greene	11854179X	Q128560	1951	Kit de Waal,Sam Leith,Jan Carson,Sophie Mackintosh
81	Buddenbrooks	4099299-8	Q326909	3458174	Thomas Mann	118577166	Q37030	1901	Maya Jasanoff,Colm Tóibín,RF Kuang,Naoise Dolan
80	Rebecca	4557830-8	Q1334940	46663	Daphne du Maurier	118528084	Q193357	1938	Jan Carson,Elif Shafak,Lisa Allardice,Doireann Ní Ghríofa
79	Go Tell It on the Mountain	4232416-6	Q1444052	1027995	James Baldwin	118506196	Q273210	1953	Shahidha Bari,Derek Owusu,Nina Stibbe,Maaza Mengiste
78	A House for Mr Biswas	4561791-0	Q4657437	2927347	VS Naipaul	118737929	Q44593	1961	Amit Chaudhuri,Maya Jasanoff,Sukhdev Sandhu,Aida Edemariam
77	The Rainbow	4237290-2	Q3288936	2337578	DH Lawrence	118570358	Q34970	1915	Lara Feigel,Catherine Taylor,Tessa Hadley,Ella Creamer
76	Dracula	4304823-7	Q41542	3165724	Bram Stoker	118798995	Q36184	1897	Jan Carson,Joshua Cohen,Damian Barr,Doireann Ní Ghríofa
75	The Bluest Eye	4233354-4	Q1069956	1987778	Toni Morrison	118911627	Q72334	1970	Kate Mosse,Maya Jaggi,Jennifer Egan,Michael Donkor
74	Nervous Conditions	4653447-7	Q6996918		Tsitsi Dangarembga	123228050	Q270837	1988	Jon Day,Natasha Walter,Catherine Taylor,Maaza Mengiste
73	Austerlitz	4792721-5	Q473389	2193696	WG Sebald	119310007	Q76952	2001	Nina Allan,Sarah Waters,Alex Needham,Kieran Goddard
72	Our Mutual Friend	4324486-5	Q1557935	2888469	Charles Dickens	118525239	Q5686	1864	Shahidha Bari,William Boyd,Justine Jordan,Ian McEwan
71	Kindred	4591505-2	Q6410642	1049657	Octavia E Butler	120512599	Q239739	1979	Imogen Russell Williams,Yael van der Wouden,Bernardine Evaristo,Lisa Tuttle
70	Jude the Obscure	4329968-4	Q1248773	41342119	Thomas Hardy	118545930	Q132805	1895	Chris Power,Douglas Stuart,Sukhdev Sandhu,Kieran Goddard
69	Crime and Punishment	4099168-4	Q165318	3393917	Fyodor Dostoevsky	118527053	Q991	1866	Eimear McBride,Juan Gabriel Vasquez,Liese Spencer,Ian Rankin
68	Blood Meridian	4383795-5	Q581426	1065465	Cormac McCarthy	118873822	Q272610	1985	Esi Edugyan,Joe Dunthorne,Chigozie Obioma,Xan Brooks
67	The Man Without Qualities	4099323-1	Q1195668	17228383	Robert Musil	118585916	Q78487	1930	Ian Patterson,PD Smith,Sukhdev Sandhu,Adam Thirlwell
66	The Master and Margarita	4244970-4	Q188538	876183	Mikhail Bulgakov	118517376	Q835	1966	Salman Rushdie,Philippe Sands,Elif Shafak,Parinoush Saniee,Marcel Theroux
65	The Color Purple	4316775-5	Q1897870	3300573	Alice Walker	118884433	Q215868	1982	Maggie O’Farrell,Claire Armitstead,Emma Loffhagen,Damian Barr
64	The Good Soldier	4519364-2	Q767802	1881188	Ford Madox Ford	118639064	Q537112	1915	Anne Enright,Steven Poole,Lucy Knight,Jack Edwards,Alexandra Harris
63	White Teeth	4717417-1	Q866980	7480	Zadie Smith	122702506	Q140052	2000	Yagnishsing Dawoor,Yiyun Li,Jeet Thayil,Derek Owusu,Emma Loffhagen
62	Half of a Yellow Sun	1041372442	Q3235393	1651408	Chimamanda Ngozi Adichie	12975479X	Q230141	2006	Katharine Viner,Yagnishsing Dawoor,Diana Evans,Charlotte Northedge,Emma Loffhagen
61	The Rings of Saturn	4770280-1	Q7760819	17952027	WG Sebald	119310007	Q76952	1995	Olivia Laing,Joe Dunthorne,Guy Gunaratne,Claire Messud,Doireann Ní Ghríofa
60	Howards End	4316712-3	Q1146642	1902726	EM Forster	118534408	Q189119	1910	John Boyne,Andrew Solomon,Sarah Bakewell,David Nicholls,Elizabeth Day
59	Never Let Me Go	7705755-7	Q951587	1499998	Kazuo Ishiguro	119484978	Q272855	2005	Lucy Knight,Beejay Silcox,M. John Harrison,Sayaka Murata,Charlotte Northedge
58	Disgrace	4924651-3	Q958560	1882981	JM Coetzee	118895117	Q43293	1999	Douglas Stuart,Valeria Luiselli,Samantha Harvey,Kieran Goddard,James Meek
57	The Sound and the Fury	4399646-2	Q135515	1168289	William Faulkner	118532081	Q38392	1929	Merve Emre,Melissa Harrison,Kevin Power,Michael Donkor,Lily King
56	Mansfield Park	4266504-8	Q469690	2722329	Jane Austen	118505173	Q36322	1814	Jude Cook,Ben Markovits,Alex Needham,James Meek,Tom Crewe
55	The Waves	4277972-8	Q1217475	6057263	Virginia Woolf	118635174	Q40909	1931	Jude Cook,Jacqueline Rose,Guy Gunaratne,Chigozie Obioma,Alexandra Harris
54	Orlando	4127274-2	Q1629456	6057225	Virginia Woolf	118635174	Q40909	1928	Katharine Viner,Michael Chabon,Kathryn Hughes,Adam Thirlwell,Elif Shafak
53	The Transit of Venus	1159513635	Q36067251	1178456	Shirley Hazzard	124106730	Q1230809	1980	Esi Edugyan,Charlotte Mendelson,Geoff Dyer,Yiyun Li,David Nicholls,Lily King
52	The Golden Bowl	4284771-0	Q1248585	118576	Henry James	118556835	Q170509	1904	Ian Patterson,Michael Chabon,Jacqueline Rose,Colm Tóibín,Catherine Taylor
51	My Brilliant Friend	1113212020	Q22263533	19174054	Elena Ferrante	113749678	Q368127	2011	Samantha Ellis,Douglas Stuart,Natasha Walter,Susanna Rustin,Charlotte Northedge,Ella Creamer
50	Wide Sargasso Sea	4397794-7	Q2268151	142647	Jean Rhys	118600184	Q230598	1966	Nadifa Mohamed,Anne Enright,Jack Edwards,Sara Collins,Jo Hamya,Saba Sams
49	A Fine Balance	4639035-2	Q48829	865827	Rohinton Mistry	120024845	Q732338	1995	Amanda Craig,Nadifa Mohamed,Roxane Gay,Claire Messud,Clare Clark,Florence Knapp
48	The Metamorphosis	4099253-6	Q184222	2373750	Franz Kafka	118559230	Q905	1915	Alberto Manguel,Chloe Aridjis,Candice Carty Williams,Sayaka Murata,Elif Shafak,Ian McEwan
47	Vanity Fair	4225151-5	Q612836	1057468	William Makepeace Thackeray	118621483	Q167768	1848	Amanda Craig,Rishi Dastidar,Jude Cook,Christobel Kent,Charlotte Higgins,Elizabeth Day
46	The Leopard	4281792-4	Q1193736	1132275	Giuseppe Tomasi di Lampedusa	120871114	Q213482	1958	Tanjll Rashid,Christobel Kent,Olivia Laing,Ahdaf Soueif,David Shariatmadari,John Lanchester
45	The Golden Notebook	4099289-5	Q784986	99441	Doris Lessing	118572113	Q40874	1962	Lara Feigel,Natasha Walter,Lisa Tuttle,Rebecca Liu,Alex Needham,Alex Clark,Saba Sams
44	Giovanni's Room	4399296-1	Q5563645	814207	James Baldwin	118506196	Q273210	1956	Benjamin Myers,Charlotte Mendelson,Richard Osman,Guy Gunaratne,Sophie Mackintosh,Damian Barr,Naoise Dolan
43	Housekeeping	4591807-7	Q5915883	1056302	Marilynne Robinson	122067401	Q253926	1980	Merve Emre,Sarah Waters,Yiyun Li,Joe Dunthorne,Kieran Goddard,David Nicholls,Liese Spencer
42	The Magic Mountain	4099303-6	Q212898	647489	Thomas Mann	118577166	Q37030	1924	Eimear McBride,Pratinav Anil,Chloe Aridjis,Daniel Kehlmann,Sarah Bakewell,Ian McEwan,James Meek
41	Heart of Darkness	4132636-2	Q129778	2877220	Joseph Conrad	118521861	Q82925	1899	Sam Leith,Juan Gabriel Vasquez,Chloe Aridjis,Derek Owusu,Kevin Power,Maya Jasanoff,Dorian Lynskey
40	Song of Solomon	4301574-8	Q3480330	3215642	Toni Morrison	118911627	Q72334	1977	Colum McCann,Guy Gunaratne,Dinah Birch,Diana Evans,Maaza Mengiste,Ian Rankin,Naoise Dolan
39	Their Eyes Were Watching God	4305507-2	Q1476619	1643555	Zora Neale Hurston	11904949X	Q220480	1937	Nikesh Shukla,Bernardine Evaristo,Lara Feigel,Jacqueline Rose,Sinéad Gleeson,Ella Creamer,Emma Loffhagen,Damian Barr
38	The Age of Innocence	4466782-6	Q1045464	1959512	Edith Wharton	118767585	Q276032	1920	Salman Rushdie,Sandra Newman,Jude Cook,Roxane Gay,Sian Cain,Geoff Dyer,Melissa Broder,Colm Tóibín,Dorian Lynskey
37	Invisible Man	4232411-7	Q1784288	170957	Ralph Ellison	11853002X	Q299965	1952	Merve Emre,Sandra Newman,Rachel Kushner,Derek Owusu,Jennifer Egan,Xan Brooks,Alex Clark,Sara Collins,Ben Okri
36	The Handmaid's Tale	4460070-7	Q1541914	1119185	Margaret Atwood	118646168	Q183492	1985	Fiona Sturges,Anne Enright,Beejay Silcox,Sian Cain,Lisa Tuttle,Sara Collins,Lisa Allardice,Arifa Akbar,Charlotte Northedge
35	Great Expectations	4239628-1	Q219552	2612809	Charles Dickens	118525239	Q5686	1861	Amanda Craig,Kit de Waal,Salman Rushdie,John Mullan,Geoff Dyer,Ahdaf Soueif,Laura Wilson,Liese Spencer,Elizabeth Day
34	Wolf Hall	1215509472	Q2657795	6278354	Hilary Mantel	123670039	Q465700	2009	Meg Rosoff,Sarah Moss,Sandra Newman,Fiona Sturges,Samantha Ellis,Katherine Rundell,Justine Jordan,Maaza Mengiste,Clare Clark,RF Kuang
33	David Copperfield	4259699-3	Q189811	4711940	Charles Dickens	118525239	Q5686	1849	Maggie O’Farrell,Freya Johnston,John Boyne,Sarah Churchwell,Katharine Viner,Charlotte Mendelson,Ali Smith,Nina Stibbe,Dinah Birch,Marcel Theroux
32	The God of Small Things	4595927-4	Q378786	810135	Arundhati Roy	115693424	Q212801	1997	Nadifa Mohamed,Yagnishsing Dawoor,Jack Edwards,Uzma Aslam Khan,Nina Stibbe,Diana Evans,Charlotte Northedge,Emma Loffhagen,Saba Sams,Daisy Johnson
31	The Prime of Miss Jean Brodie	4313606-0	Q2074335	6132856	Muriel Spark	118798197	Q233956	1961	John Self,Fiona Sturges,Sinéad Gleeson,Ali Smith,David Nicholls,Lisa Allardice,Liese Spencer,Damian Barr,Saba Sams,Ian Rankin
30	Frankenstein	4220200-0	Q150827	4836639	Mary Shelley	11879695X	Q47152	1818	Alberto Manguel,Chloe Aridjis,Fiona Sampson,Steven Poole,Beejay Silcox,Sian Cain,Lucas Rijneveld,Kate Mosse,Katherine Rundell,Arifa Akbar
