List Number	Title	Author	Work GND ID	Work Wikidata ID	Work Goodreads ID	Author GND ID	Author Wikidata ID	sex or gender (P21)	volumes	publication date (P577)	Publication year (EDTF)	language of work or name (P407)	Language category
1	The Lord of the Rings	JRR Tolkien	4124318-3	Q15228	3462456	118623222	Q892	male	3	1954-00-00T00:00:00Z	{1954,1955}	English	English
2	Middlemarch	George Eliot	4225595-8	Q313129	1461747	118529846	Q131333	female		1871-00-00T00:00:00Z	{1871,1872}	English	English
3	Pride and Prejudice	Jane Austen	4099118-0	Q170583	3060926	118505173	Q36322	female		1813-01-28T00:00:00Z	1813	English	English
4	The Grapes of Wrath	John Steinbeck	4305432-8	Q215983	2931549	118617338	Q39212	male		1939-04-14T00:00:00Z;1939-00-00T00:00:00Z	1939	English	English
5	To Kill a Mockingbird	Harper Lee	4316715-9	Q212340	3275794	119102579	Q182658	female		1960-07-11T00:00:00Z	1960	American English	English
6	War and Peace	Leo Tolstoy	4099381-4	Q161531	4912783	11864291X	Q7243	male		1869-00-00T00:00:00Z	1869	Russian;French	Russian
7	Nineteen Eighty-Four	George Orwell	4099325-5	Q208460	153313	118590359	Q3335	male		1949-00-00T00:00:00Z	1949	English;Newspeak	English
8	Catch-22	Joseph Heller	4229273-6	Q278208	814330	118815970	Q208101	male		1961-11-10T00:00:00Z	1961	English	English
8	One Hundred Years of Solitude	Gabriel García Márquez	4123253-7	Q178869	3295655	118537601	Q5878	male		1967-00-00T00:00:00Z	1967	Spanish	Spanish
10	Ulysses	James Joyce	4099246-9	Q6511	2368224	118558501	Q6882	male		1922-02-02T00:00:00Z	1922	English	English
11	Anna Karenina	Leo Tolstoy	4137252-9	Q147787	2507928	11864291X	Q7243	male		1877-00-00T00:00:00Z	1877	Russian	Russian
12	Moby-Dick	Herman Melville	4204518-6	Q174596	2409320	118580604	Q4985	male		1851-10-18T00:00Z;1851-11-14T00:00Z	1851	English	English
14	Wolf Hall	Hilary Mantel	1215509472	Q2657795	6278354	123670039	Q465700	female		2009-04-30T00:00:00Z	2009	English	English
14	Wuthering Heights	Emily Brontë	4136057-6	Q202975	1565818	118638017	Q80137	female		1847-00-00T00:00:00Z	1847	British English	English
15	In Search of Lost Time	Marcel Proust	4006834-1	Q464928	21467164	118596799	Q7199	male	7	2000-00-00T00:00:00Z	{1913,1919,1920,1921,1922,1923,1925,1927}	French	French
16	East of Eden	John Steinbeck	4134765-1	Q849701	2574991	118617338	Q39212	male		1952-09-01T00:00:00Z	1952	American English;English	English
16	Persuasion	Jane Austen	4386990-7	Q333179	2534720	118505173	Q36322	female		1817-00-00T00:00:00Z	1817	English	English
16	The Great Gatsby	F Scott Fitzgerald	4316711-1	Q214371	245494	118533592	Q93354	male		1925-04-10T00:00:00Z	1925	English	English
19	Gravity’s Rainbow	Thomas Pynchon	4194590-6	Q1212160	866393	118597221	Q35155	male		1973-02-28T00:00:00Z	1973	English	English
20	Beloved	Toni Morrison	4301577-3	Q971767	736076	118911627	Q72334	female		1987-09-00T00:00:00Z	1987	English	English
21	Slaughterhouse-Five	Kurt Vonnegut	4475127-8	Q265954	1683562	118770306	Q49074	male		1969-03-00T00:00:00Z	1969	English	English
21	The Brothers Karamazov	Fyodor Dostoevsky	4198690-8	Q183157	3393910	118527053	Q991	male		1880-01-01T00:00:00Z	1880	Russian	Russian
23	Don Quixote	Miguel de Cervantes	4113209-9	Q480	121842	11851993X	Q5682	male	2	1605-00-00T00:00:00Z;1615-00-00T00:00:00Z	{1605,1615}	Early Modern Spanish;Spanish	Spanish
24	Les Misérables	Victor Hugo	41397460	Q180736	3208463	118554654	Q535	male		1862-01-01T00:00:00Z	1862	French	French
25	Crime and Punishment	Fyodor Dostoevsky	4099168-4	Q165318	3393917	118527053	Q991	male		1866-00-00T00:00:00Z	1866	Russian	Russian
26	Bleak House	Charles Dickens	4225150-3	Q883305	2960365	118525239	Q5686	male		1853-00-00T00:00:00Z	1853	English	English
26	Jane Eyre	Charlotte Brontë	4119812-8	Q182961	2977639	118638009	Q127332	female		1847-00-00T00:00:00Z	1847	English	English
28	Blood Meridian	Cormac McCarthy	4383795-5	Q581426	1065465	118873822	Q272610	male		1985-02-00T00:00:00Z	1985	English	English
29	The Adventures of Huckleberry Finn	Mark Twain	4311319-9	Q215410	1835605	118624822	Q7245	male		1884-01-01T00:00:00Z	1884	English	English
29	Great Expectations	Charles Dickens	4239628-1	Q219552	2612809	118525239	Q5686	male		1861-03-23T00:00:00Z	1861	English	English
31	Infinite Jest	David Foster Wallace	7634667-5	Q1077445	3271542	122865251	Q313246	male		1996-02-01T00:00:00Z	1996	English	English
31	The Master and Margarita	Mikhail Bulgakov	4244970-4	Q188538	876183	118517376	Q835	male		1967-00-00T00:00:00Z;1928-00-00T00:00:00Z	1928	Russian	Russian
31	The Poisonwood Bible	Barbara Kingsolver	4673665-7	Q7757621	810663	118013874	Q1264643	female		1998-01-01T00:00:00Z	1998	English	English
31	The Remains of the Day	Kazuo Ishiguro	4465587-3	Q829934	3333111	119484978	Q272855	male		1989-05-01T00:00:00Z	1989	English	English
35	A Confederacy of Dunces	John Kennedy Toole	4764332-8	Q627749	968084	123338220	Q313739	male		+1980-01-01T00:00:00Z	1980	English	English
36	The Count of Monte Cristo	Alexandre Dumas and Auguste Maquet	4362352-9	Q191838	391568	118528068	Q38337	male		1844-00-00T00:00:00Z	1846	French	French
37	A Prayer for Owen Meany	John Irving	4412824-1	Q13911	1734019	119049708	Q310379	male		1989-03-00T00:00:00Z	1989	English	English
37	The Catcher in the Rye	JD Salinger	4120008-1	Q183883	3036731	118605054	Q79904	male		1951-07-16T00:00:00Z	1951	English	English
39	Frankenstein	Mary Shelley	4220200-0	Q150827	4836639	11879695X	Q47152	female		1818-01-01T00:00:00Z	1818	English	English
39	Stoner	John Williams	113309810X	Q7619282	1559207	1038675642	Q2077062	male		+1965-00-00T00:00:00Z	1965	English	English
41	A Fine Balance	Rohinton Mistry	4639035-2	Q48829	865827	120024845	Q732338	male		1995-01-01T00:00:00Z	1995	English	English
41	A Suitable Boy	Vikram Seth	4414170-1	Q2918491	1651078	119331411	Q379762	male		1993-05-00T00:00:00Z	1993	English	English
41	Heart of Darkness	Joseph Conrad	4132636-2	Q129778	2877220	118521861	Q82925	male		1899-01-01T00:00:00Z	1899	British English;English	English
41	The Handmaid’s Tale	Margaret Atwood	4460070-7	Q1541914	1119185	118646168	Q183492	female		1985-08-00T00:00:00Z	1985	English	English
41	The Secret History	Donna Tartt	7500535-9	Q1218321	221359	12499606X	Q255339	female		1992-09-01T00:00:00Z	1992	English	English
46	Lolita	Vladimir Nabokov	4251287-6	Q127149	1268631	118586114	Q36591	male		1955-01-01T00:00:00Z	1955	English	English
46	The Hitchhiker’s Guide to the Galaxy	Douglas Adams	4283976-2	Q3107329	3078186	119033364	Q42	male		1979-10-12T00:00:00Z	1979	British English;English	English
46	Watership Down	Richard Adams		Q936801	1357456	120675285	Q313289	male		1972-11-01T00:00:00Z	1972	English	English
49	A Tale of Two Cities	Charles Dickens	4293539-8	Q308918	2956372	118525239	Q5686	male		+1859-00-00T00:00:00Z	1859	English	English
49	Atonement	Ian McEwan	4802066-7	Q306619	2307233	119252694	Q190379	male		2001-00-00T00:00:00Z	2001	English	English
49	David Copperfield	Charles Dickens	4259699-3	Q189811	4711940	118525239	Q5686	male		1850-01-01T00:00:00Z	1850	English	English
52	Birdsong	Sebastian Faulks	7694764-6	Q3405048	1093016	115588973	Q443055	male		+1993-09-16T00:00:00Z	1993	English	English
52	Emma	Jane Austen	4277660-0	Q223880	3360164	118505173	Q36322	female		1815-12-23T00:00:00Z	1815	English	English
52	Lonesome Dove	Larry McMurtry	7613478-7	Q973883	3281465	118992171	Q611672	male		1985-00-00T00:00:00Z	1985	English	English
52	The God of Small Things	Arundhati Roy	4595927-4	Q378786	810135	115693424	Q212801	female		1997-00-00T00:00:00Z	1997	English	English
52	The Magic Mountain	Thomas Mann	4099303-6	Q212898	647489	118577166	Q37030	male		1924-00-00T00:00:00Z	1924	German	German
57	2666	Roberto Bolaño	1045769193	Q219437	3294830	120894076	Q297532	male		2004-00-00T00:00:00Z	2004	Spanish	Spanish
57	Cloud Atlas	David Mitchell	1029094926	Q40205	1871423	12919302X	Q40479	male		2004-03-00T00:00:00Z	2004	English	English
57	Never Let Me Go	Kazuo Ishiguro	7705755-7	Q951587	1499998	119484978	Q272855	male		2005-04-00T00:00:00Z	2005	English	English
60	A Gentleman in Moscow	Amor Towles	1140251732	Q65048798	45743836	143776479	Q11685653	male		+2016-00-00T00:00:00Z	2016	English	English
