List No	Work No	Composer	Composer Wikidata ID	Composer GND ID	Work	Work Wikidata ID	Work GND ID
1		Ludwig van Beethoven	Q255	118508288	Symphonie d-Moll Nr. 9	Q11989	300016433
2		Wolfgang Amadeus Mozart	Q254	118584596	Die Hochzeit des Figaro	Q201873	300109849
3	0	Antonio Vivaldi	Q1340	118627287	Die vier Jahreszeiten	Q12016	300167849
3	1	Antonio Vivaldi	Q1340	118627287	Konzert E-Dur, »Der Frühling«	Q47008342	300167911
3	2	Antonio Vivaldi	Q1340	118627287	Konzert g-Moll, »Der Sommer«	Q47008540	300167946
3	3	Antonio Vivaldi	Q1340	118627287	Konzert F-Dur, »Der Herbst«	Q47008556	30016792X
3	4	Antonio Vivaldi	Q1340	118627287	Konzert f-Moll, »Der Winter«	Q47008571	300167938
3		Frédéric Chopin	Q1268	118520539	Klaviersonate b-Moll Nr. 2	Q284448	300037864
5		Richard Wagner	Q1511	118594117	Tristan und Isolde	Q1324254	300170483
6		Bedřich Smetana	Q48173	118615017	Die Moldau	Q3820990	300149611
7		Franz Schubert	Q7312	118610961	Die schöne Müllerin	Q765966	300141629
8		Robert Schumann	Q7351	118611666	Carnaval	Q1043926	300144520
9		Gustav Mahler	Q7304	118576291	Symphonie cis-Moll Nr. 5	Q240240	300098049
10		Johannes Brahms	Q7294	118514253	Violinkonzert D-Dur	Q1156068	30002567X
11		Franz Schubert	Q7312	118610961	Der Tod und das Mädchen	Q605107	300141440
12		Georg Friedrich Händel	Q7302	118544489	Der Messias	Q207732	300065175
13		Ludwig van Beethoven	Q255	118508288	Klaviersonate c-Moll Nr. 32	Q146793	300016891
14		Johann Sebastian Bach	Q1339	11850553X	Goldberg-Variationen	Q213728	30000527X
15		Richard Wagner	Q1511	118594117	Der Ring des Nibelungen: Das Rheingold	Q327717	300170238
16		Richard Wagner	Q1511	118594117	Der Ring des Nibelungen: Die Walküre	Q324319	300170548
17		Richard Wagner	Q1511	118594117	Der Ring des Nibelungen: Siegfried 	Q333146	300170327
18		Richard Wagner	Q1511	118594117	Der Ring des Nibelungen: Götterdämmerung	Q272029	300169868
19		Maurice Ravel	Q1178	118598651	Bolero	Q327331	300125143
20		Joseph Haydn	Q7349	118547356	Die Schöpfung	Q163138	300070071
21		Antonín Dvořák	Q7298	11852836X	Symphonie e-Moll Nr. 9	Q11985	300048122
22		Giuseppe Verdi	Q7317	118626523	Requiem	Q1356210	300166192
23		Johannes Brahms	Q7294	118514253	Klavierkonzert B-Dur Nr. 2	Q210208	300025653
24		Hector Berlioz	Q1151	118509675	Symphonie fantastique	Q462313	300019416
25		Frédéric Chopin	Q1268	118520539	Ballade g-Moll Nr. 1	Q2038498	300036760
26		Ludwig van Beethoven	Q255	118508288	Symphonie c-Moll Nr. 5	Q188709	300016387
27		Wolfgang Amadeus Mozart	Q254	118584596	Klaviersonate a-Moll	Q1746050	300111282
28		Felix Mendelssohn Bartholdy	Q46096	118580779	Violinkonzert e-Moll	Q1054060	300101902
29		Franz Liszt	Q41309	118573527	Klaviersonate h-Moll	Q1031890	30009471X
30		Igor Strawinsky	Q7314	118642545	Psalmensymphonie	Q569346	300158572
31		Wolfgang Amadeus Mozart	Q254	118584596	Eine kleine Nachtmusik	Q12025	300108508
32		Sergei Prokofjew	Q49481	118596721	Peter und der Wolf	Q677403	300121628
33		Giuseppe Verdi	Q7317	118626523	Aida	Q171277	300164971
34		Franz Schubert	Q7312	118610961	Die »große« Symphonie C-Dur	Q511538	300141785
35		Georges Bizet	Q56158	118511440	Carmen	Q185968	300020724
36		Ludwig van Beethoven	Q255	118508288	»Kreutzer«-Sonate	Q1154601	300017146
37		Wolfgang Amadeus Mozart	Q254	118584596	Klavierkonzert Es-Dur »Jeunehomme«	Q275516	300108869
38		Johann Sebastian Bach	Q1339	11850553X	Chaconne		300011148
39		Anton Bruckner	Q81752	118515799	Symphonie Es-Dur Nr. 4	Q231162	300029977
40		Robert Schumann	Q7351	118611666	Klavierkonzert a-Moll	Q999104	300145403
41		Pjotr Tschaikowski	Q7315	118638157	Symphonie h-Moll Nr. 6 »Pathétique«	Q246589	300033842
42		Franz Schubert	Q7312	118610961	Winterreise	Q611529	300142420
43		Johannes Brahms	Q7294	118514253	Klavierquintett f-Moll	Q2719356	300026617
44		Pjotr Tschaikowski	Q7315	118638157	Klavierkonzert b-Moll Nr. 1	Q162935	300033338
45		Wolfgang Amadeus Mozart	Q254	118584596	Die Zauberflöte	Q5064	300112068
46		Ludwig van Beethoven	Q255	118508288	Klavierkonzert c-Moll Nr. 3	Q223331	300015488
47		Franz Schubert	Q7312	118610961	Fantasie für Klavier zu vier Händen f-Moll	Q3066517	300140339
48		Giuseppe Verdi	Q7317	118626523	Ein Maskenball	Q221757	300165145
49		Robert Schumann	Q7351	118611666	Dichterliebe	Q1209545	300144571
50		Wolfgang Amadeus Mozart	Q254	118584596	Sonate für zwei Klaviere D-Dur	Q2166276	300111401
51		Igor Stravinsky	Q7314	118642545	Petruschka	Q740162	300158157
52		Ludwig van Beethoven	Q255	118508288	Klavierkonzert G-Dur Nr. 4	Q230772	300015496
53		Richard Wagner	Q1511	118594117	Tannhäuser	Q560619	300170408
54		Frédéric Chopin	Q1268	118520539	Die Mazurken	Q3131015	300037155
55		Franz Liszt	Q41309	118573527	Klavierkonzert Es-Dur Nr. 1	Q162893	300093926
56		Wolfgang Amadeus Mozart	Q254	118584596	Così fan tutte	Q207410	300107331
57		Antonín Dvořák	Q7298	11852836X	Cellokonzert h-Moll	Q1053081	300047398
58		Ludwig van Beethoven	Q255	118508288	Fidelio	Q193778	300015194
59		Robert Schumann	Q7351	118611666	Kinderszenen	Q1569982	300145306
60		Johann Sebastian Bach	Q1339	11850553X	Messe h-Moll	Q310549	300009879
61		Johannes Brahms	Q7294	118514253	Symphonie c-Moll Nr. 1	Q163512	300026862
62		Giacomo Puccini	Q7311	118596942	Tosca	Q192941	300122470
63		Franz Schubert	Q7312	118610961	Klaviertrio B-Dur Nr. 1	Q3108957	300142242
64		Richard Strauss	Q13894	11861911X	Salome	Q723407	300157185
65		Anton Bruckner	Q81752	118515799	Symphonie E-Dur Nr. 7	Q260988	300030002
66		Wolfgang Amadeus Mozart	Q254	118584596	Die Entführung aus dem Serail	Q210711	300108001
67		Ludwig van Beethoven	Q255	118508288	Die »Mondscheinsonate«	Q12008	300016670
68		Wolfgang Amadeus Mozart	Q254	118584596	Das »große« Klavierkonzert C-Dur	Q213192	300108974
69		Pjotr Tschaikowski	Q7315	118638157	Symphonie f-Moll Nr. 4	Q231282	300033826
70		Franz Liszt	Q41309	118573527	Die Ungarischen Rhapsodien	Q922805	300094922
71		Richard Wagner	Q1511	118594117	Lohengrin	Q23085	30016999X
72		Joseph Haydn	Q7349	118547356	Streichquartett C-Dur, das »Kaiserquartett«	Q1721718	300862377
73		Antonín Dvořák	Q7298	11852836X	Symphonie G-Dur Nr. 8	Q270816	300048114
74		Ludwig van Beethoven	Q255	118508288	Klaviersonate f-Moll, die »Appassionata«	Q146614	300016808
75		Franz Schubert	Q7312	118610961	Das »Forellenquintett«	Q1349941	300141475
76		Wolfgang Amadeus Mozart	Q254	118584596	Idomeneo	Q723559	30010829X
77		Frédéric Chopin	Q1268	118520539	Die vier Scherzi für Klavier	Q6532501	300037791
78		Johannes Brahms	Q7294	118514253	Symphonie F-Dur Nr. 3	Q223502	300026889
79		Bedřich Smetana	Q48173	118615017	»Aus meinem Leben« 	Q3141125	30014976X
80		Kurt Weill	Q55004	118630202	Die Dreigroschenoper	Q212495	300172559
80		Bertolt Brecht	Q38757	118514768	Die Dreigroschenoper	Q212495	300172559
81		Robert Schumann	Q7351	118611666	Kreisleriana	Q741180	300145470
82		Ludwig van Beethoven	Q255	118508288	Violinkonzert D-Dur	Q787378	300015526
83		Richard Wagner	Q1511	118594117	Die Meistersinger von Nürnberg	Q465540	300170084
84		Johannes Brahms	Q7294	118514253	Klavierkonzert d-Moll Nr. 1	Q162876	300025645
85		Gustav Mahler	Q7304	118576291	Das Lied von der Erde	Q846646	300097840
86		Richard Strauss	Q13894	11861911X	Der Rosenkavalier	Q471240	300157142
87		Ludwig van Beethoven	Q255	118508288	Diabelli-Variationen	Q1207965	300017634
88		Wolfgang Amadeus Mozart	Q254	118584596	Don Giovanni	Q192039	30010782X
89		Johannes Brahms	Q7294	118514253	Klarinettenquintett h-Moll	Q3098064	300026609
90		Giuseppe Verdi	Q7317	118626523	Otello	Q172324	300166028
91		Ludwig van Beethoven	Q255	118508288	Symphonie F-Dur Nr. 6, die »Pastorale«	Q246433	300016409
92		Alban Berg	Q78475	118509322	Violinkonzert	Q25786	300018622
93	0	Wolfgang Amadeus Mozart	Q254	118584596	Die sechs »Haydn«-Streichquartette	Q3058169	
