No	Work	Work Wikidata ID	Work GND ID	Work Goodreads ID	Author	Author Wikidata ID	Author GND ID	Year (NYT)
1	My Brilliant Friend	Q22263533	1113212020	19174054	Elena Ferrante	Q368127	113749678	2012
2	The Warmth of Other Suns	Q7773566		13341052	Isabel Wilkerson	Q6077806	1217815023	2010
3	Wolf Hall	Q2657795	1215509472	6278354	Hilary Mantel	Q465700	123670039	2009
4	The Known World	Q7744892		1062798	Edward P. Jones	Q942627	130604046	2003
5	The Corrections	Q335645	7580478-5	941200	Jonathan Franzen	Q316607	124075746	2001
6	2666	Q219437	1045769193	3294830	Roberto Bolaño	Q297532	120894076	2008
7	The Underground Railroad	Q27957817	1139800221	48287641	Colson Whitehead	Q509662	121859606	2016
8	Austerlitz	Q473389	4792721-5	2193696	W.G. Sebald	Q76952	119310007	2001
9	Never Let Me Go	Q951587	7705755-7	1499998	Kazuo Ishiguro	Q272855	119484978	2005
10	Gilead	Q5561577	1045398837	2481792	Marilynne Robinson	Q253926	122067401	2004
11	The Brief Wondrous Life of Oscar Wao	Q2551789	102235437X	3281466	Junot Díaz	Q402664	115643605	2007
12	The Year of Magical Thinking	Q993664	1195541538	1659905	Joan Didion	Q267691	118884131	2005
13	The Road	Q1140295	7698101-0	3355573	Cormac McCarthy	Q272610	118873822	2006
14	Outline	Q50377310	1188483579	40698498	Rachel Cusk	Q3416087	120077973	2015
15	Pachinko	Q55641363		50384116	Min Jin Lee	Q13563026	1123680221	2017
16	The Amazing Adventures of Kavalier & Clay	Q2705230	1065642482	2693329	Michael Chabon	Q313466	120518252	2000
17	The Sellout	Q22075195	1239191308	41610676	Paul Beatty	Q3370589	120859386	2015
18	Lincoln in the Bardo	Q28841909	1199075493	50281866	George Saunders	Q1251926	124089305	2017
19	Say Nothing	Q85799870		62303430	Patrick Radden Keefe	Q22087892	140367373	2019
20	Erasure	Q16837095		345986	Percival Everrett	Q3375158	140948287	2001
21	Evicted	Q30078322	1200612353	45720714	Matthew Desmond	Q22096471	173975011	2016
22	Behind the Beautiful Forevers	Q4880827	1125463295	16826575	Katherine Boo	Q6376310	1026375193	2012
23	Hateship, Friendship, Courtship, Loveship, Marriage	Q3874589	1026348595	2457240	Alice Munro	Q234819	119036525	2001
24	The Overstory	Q56277009	1208326244	57662223	Richard Powers	Q638179	123591813	2018
25	Random Family	Q7291930		909535	Adrian Nicole LeBlanc	Q1822143	135972922	2003
26	Atonement	Q306619	4802066-7	2307233	Ian McEwan	Q190379	119252694	2002
27	Americanah	Q16154159	1076129900	21519538	Chimamanda Ngozi Adichie	Q230141	12975479X	2013
28	Cloud Atlas	Q40205	1029094926	1871423	David Mitchell	Q40479	12919302X	2004
29	The Last Samurai	Q7745995	1271828855	376680	Helen DeWitt	Q546374	123150000	2000
30	Sing, Unburied, Sing	Q42530254	1184845964	53537916	Jesmyn Ward	Q3177574	1048628353	2017
31	White Teeth	Q866980	4717417-1	7480	Zadie Smith	Q140052	122702506	2000
32	The Line of Beauty	Q2448434	7619567-3	918312	Alan Hollinghurst	Q316048	122557484	2004
33	Salvage the Bones	Q24037621		15760836	Jesmyn Ward	Q3177574	1048628353	2011
34	Citizen	Q21152232		39895091	Claudia Rankine	Q2978433	136937055	2014
35	Fun Home	Q428680	1160193681	911368	Alison Bechdel	Q435032	139390626	2006
36	Between the World and Me	Q20669329		44848425	Ta-Nehisi Coates	Q15452495	1077111991	2015
37	The Years	Q3230588	1148791590	3110233	Annie Ernaux	Q1153825	119012278	2018
38	The Savage Detectives	Q898056		2503920	Roberto Bolaño	Q297532	120894076	2007
39	A Visit From the Goon Squad	Q213300	1219993379	8975330	Jennifer Egan	Q264283	114419833	2010
40	H Is for Hawk	Q19902675	1116285991	26732095	Helen Macdonald	Q18921880	1062628829	2015
41	Small Things Like These	Q113364856		86476810	Claire Keegan	Q278917	128895179	2021
42	A Brief History of Seven Killings	Q19874028		40236328	Marlon James	Q16211564	132196050	2014
43	Postwar	Q1212929		1979891	Tony Judt	Q312279	120831864	2005
44	The Fifth Season	Q25217632		26115977	N.K. Jemisin	Q2427544	141498587	2015
45	The Argonauts	Q65146334		42499230	Maggie Nelson	Q6730288	1116447436	2015
46	The Goldfinch	Q15080194	1078072418	24065147	Donna Tartt	Q255339	12499606X	2013
47	A Mercy	Q1533003	7861783-2	3039966	Toni Morrison	Q72334	118911627	2008
48	Persepolis	Q756604	1027671470	13344769	Marjane Satrapi	Q126633	129860468	2003
49	The Vegetarian	Q24082770	1120734800	18449744	Han Kang	Q5646626	1038023009	2016
50	Trust	Q114761914		91248878	Hernan Diaz	Q100329021	1216833761	2022
51	Life After Life	Q16386674	1222461927	21443207	Kate Atkinson	Q272622	118197436	2013
52	Train Dreams	Q85810391		2046778	Denis Johnson	Q340016	122396669	2011
53	Runaway	Q3797308		2040369	Alice Munro	Q234819	119036525	2004
54	Tenth of December	Q7700894		19256026	George Saunders	Q1251926	124089305	2013
55	The Looming Tower	Q7748388		2567720	Lawrence Wright	Q353893	119474204	2006
56	The Flamethrowers	Q16993449		21526172	Rachel Kushner	Q7279300	12468940X	2013
57	Nickel and Dimed	Q1985615		1840613	Barbara Ehrenreich	Q283659	108405354	2001
58	Stay True	Q123243917		94205509	Hua Hsu	Q23013656	1049775368	2022
59	Middlesex	Q1609780	4818034-8	1352495	Jeffrey Eugenides	Q357108	123706017	2002
60	Heavy	Q110707363		49695308	Kiese Laymon	Q16214941	1078341842	2018
61	Demon Copperhead	Q115526836		94935539	Barbara Kingsolver	Q1264643	118013874	2022
62	10:04	Q19364452	1374245860	39894949	Ben Lerner	Q1836356	1012119912	2014
63	Veronica	Q130386293		709164	Mary Gaitskill	Q545781	1052801390	2005
64	The Great Believers	Q110552755		58531414	Rebecca Makkai	Q16204629	1016120036	2018
65	The Plot Against America	Q1758811	7743689-1	911456	Philip Roth	Q187019	118803433	2004
66	We the Animals	Q7977895		15208454	Justin Torres	Q16210947	1042306214	2011
67	Far From the Tree	Q7165186		19112644	Andrew Solomon	Q645362	123214351	2012
68	The Friend	Q58692425	1204597294	56847766	Sigrid Nunez	Q7513133	136970133	2018
69	The New Jim Crow	Q7753648		6996712	Michelle Alexander	Q3701413	1044246103	2010
70	All Aunt Hagar's Children	Q4728616		258132	Edward P. Jones	Q942627	130604046	2006
71	The Copenhagen Trilogy	Q85806847		62438608	Tove Ditlevsen	Q270333	118526030	2021
72	Secondhand Time	Q18449383	1080958576	27225929	Svetlana Alexievich	Q274334	115696938	2016
73	The Passage of Power	Q127602685		18214228	Robert A. Caro	Q373423	1069352586	2012
74	Olive Kitteridge	Q7087170		3263906	Elizabeth Strout	Q262712	138335400	2008
75	Exit West	Q29344661		51234185	Mohsin Hamid	Q3243146	123819598	2017
76	Tomorrow, and Tomorrow, and Tomorrow	Q115818209		89167797	Gabrielle Zevin	Q529735	130324507	2022
77	An American Marriage	Q65089909	1182374247	54403192	Tayari Jones	Q7689755	1160069557	2018
78	Septology	Q132158707		95003024	Jon Fosse	Q443868	120052547	2022
79	A Manual for Cleaning Women	Q113546771	1139134450	42499118	Lucia Berlin	Q6696619	1079630023	2015
80	The Story of the Lost Child	Q55517827	1326346245	43024334	Elena Ferrante	Q368127	113749678	2015
81	Pulphead	Q7259591		15766613	John Jeremiah Sullivan	Q6241824	1019266449	2011
82	Hurricane Season	Q66134812		56082606	Fernanda Melchor	Q60448241	1113608013	2020
83	When We Cease to Understand the World	Q114762016		84341168	Benjamín Labatut	Q104036331	1206210761	2021
84	The Emperor of All Maladies	Q4202130		7580942	Siddhartha Mukherjee	Q983450	1022231510	2010
85	Pastoralia	Q7143062		4225	George Saunders	Q1251926	124089305	2000
86	Frederick Douglass	Q84458794		60163211	David W. Blight	Q5240690	136785999	2018
87	Detransition, Baby	Q107988234		68963612	Torrey Peters	Q102290410	1229393110	2021
88	The Collected Stories of Lydia Davis	Q132204776		6865229	Lydia Davis	Q1280035	133546713	2010
89	The Return	Q39069946		48015462	Hisham Matar	Q673985	132610736	2016
90	The Sympathizer	Q21162257		42713530	Viet Thanh Nguyen	Q23887092	107555537X	2015
